Axis,Type,Time
Axis #1,ALERT,"Time   2022-10-17 12:19:22.005
Name: 31, dtype: datetime64[ns]"
Axis #1,error,"Time   2022-10-17 12:18:23.660
Name: 0, dtype: datetime64[ns]"
Axis #2,ALERT,"Time   2022-10-17 12:19:22.005
Name: 31, dtype: datetime64[ns]"
Axis #2,error,"Time   2022-10-17 12:18:23.660
Name: 0, dtype: datetime64[ns]"
Axis #3,ALERT,"Time   2022-10-17 12:19:22.005
Name: 31, dtype: datetime64[ns]"
Axis #3,error,"Time   2022-10-17 12:18:23.660
Name: 0, dtype: datetime64[ns]"
Axis #4,ALERT,"Time   2022-10-17 12:19:22.005
Name: 31, dtype: datetime64[ns]"
Axis #4,error,"Time   2022-10-17 12:18:23.660
Name: 0, dtype: datetime64[ns]"
Axis #5,ALERT,"Time   2022-10-17 12:19:22.005
Name: 31, dtype: datetime64[ns]"
Axis #5,error,"Time   2022-10-17 12:18:23.660
Name: 0, dtype: datetime64[ns]"
Axis #6,ALERT,"Time   2022-10-17 12:19:20.136
Name: 30, dtype: datetime64[ns]"
Axis #6,error,"Time   2022-10-17 12:18:23.660
Name: 0, dtype: datetime64[ns]"
Axis #7,ALERT,"Time   2022-10-17 12:19:20.136
Name: 30, dtype: datetime64[ns]"
Axis #7,error,"Time   2022-10-17 12:18:23.660
Name: 0, dtype: datetime64[ns]"
Axis #8,ALERT,"Time   2022-10-17 12:18:23.660
Name: 0, dtype: datetime64[ns]"
Axis #8,error,"Time   2022-10-17 12:19:53.269
Name: 45, dtype: datetime64[ns]"
